year,Team,QB,RB,WR,TE,OL,Offense,DL,LB,S,CB,Defense,Total,rb_pct
2019,49ers,"21,379,024","14,457,001","11,900,761","5,036,034","42,645,957","95,418,777","42,606,472","23,249,863","8,579,784","20,884,938","95,321,057","190,739,834",0.076
2019,Bears,"14,584,337","5,220,201","31,409,752","12,698,875","28,679,926","92,593,091","20,929,999","36,374,074","6,674,672","31,037,322","95,016,067","187,609,158",0.028
2019,Bengals,"18,109,080","8,539,530","28,134,454","11,912,549","40,342,186","107,037,799","33,698,327","12,145,095","8,518,392","25,168,228","79,530,042","186,567,841",0.046
2019,Bills,"7,051,826","15,128,956","23,959,991","11,237,933","38,132,116","95,510,822","49,051,510","12,389,177","15,571,340","11,067,120","88,079,147","183,589,969",0.082
2019,Broncos,"20,780,000","3,293,436","19,961,919","7,258,576","29,455,705","80,749,636","21,983,348","44,164,330","7,537,594","26,236,380","99,921,652","180,671,288",0.018
2019,Browns,"12,327,741","7,262,976","38,210,264","7,612,002","37,064,560","102,477,543","45,920,964","17,405,521","16,001,310","24,847,274","104,175,069","206,652,612",0.035
2019,Buccaneers,"24,265,750","5,367,256","26,537,435","12,387,538","47,714,847","116,272,826","44,356,629","21,210,916","7,313,936","10,547,801","83,429,282","199,702,108",0.027
2019,Cardinals,"9,259,814","13,261,909","19,511,956","5,011,227","36,212,886","83,257,792","15,033,778","42,291,882","9,293,684","23,205,898","89,825,242","173,083,034",0.077
2019,Chargers,"27,709,655","8,531,668","25,061,379","8,109,098","37,824,938","107,236,738","39,738,403","16,085,142","8,181,608","16,508,333","80,513,486","187,750,224",0.045
2019,Chiefs,"10,064,808","7,297,793","28,915,614","13,658,400","38,326,349","98,262,964","23,893,954","17,558,290","15,368,780","8,546,156","65,367,180","163,630,144",0.045
2019,Colts,"30,615,000","4,090,734","33,769,761","15,267,500","33,592,903","117,335,898","26,021,835","21,978,874","14,109,776","24,363,922","86,474,407","203,810,305",0.020
2019,Cowboys,"3,391,905","10,265,436","30,240,376","7,238,625","60,889,108","112,025,450","41,806,509","16,838,074","6,856,954","13,210,531","78,712,068","190,737,518",0.054
2019,Dolphins,"7,424,898","5,024,387","26,950,178","7,795,768","14,242,690","61,437,921","16,971,151","15,157,771","28,945,129","24,606,904","85,680,955","147,118,876",0.034
2019,Eagles,"12,964,521","6,064,066","33,654,451","9,889,746","43,084,446","105,657,230","30,920,811","12,040,416","24,167,000","10,546,828","77,675,055","183,332,285",0.033
2019,Falcons,"17,700,000","9,923,109","28,444,781","7,780,730","42,769,611","106,618,231","29,952,614","21,183,482","12,537,357","19,133,993","82,807,446","189,425,677",0.052
2019,Giants,"26,051,091","10,407,765","18,036,842","10,476,573","35,028,274","100,000,545","8,366,318","27,927,742","9,244,370","22,090,839","67,629,269","167,629,814",0.062
2019,Jaguars,"13,645,404","10,616,555","18,102,940","5,644,131","34,528,100","82,537,130","37,113,761","23,565,619","8,154,923","34,253,776","103,088,079","185,625,209",0.057
2019,Jets,"10,089,476","12,375,686","20,083,345","3,148,235","38,876,492","84,573,234","30,602,327","31,072,661","11,895,042","24,621,711","98,191,741","182,764,975",0.068
2019,Lions,"30,880,000","8,573,752","19,864,671","7,780,471","29,931,552","97,030,446","22,725,879","17,719,945","12,353,824","25,920,410","78,720,058","175,750,504",0.049
2019,Packers,"28,484,189","2,588,499","19,110,957","17,718,298","48,225,729","116,127,672","20,107,562","25,506,975","17,986,676","9,332,755","72,933,968","189,061,640",0.014
2019,Panthers,"25,200,545","7,501,490","14,672,809","10,694,498","27,587,937","85,657,279","56,534,120","25,133,341","8,595,080","9,903,499","100,166,040","185,823,319",0.040
2019,Patriots,"31,149,028","12,726,919","23,212,535","6,382,268","28,708,510","102,179,260","21,719,925","25,216,051","29,680,985","19,892,087","96,509,048","198,688,308",0.064
2019,Raiders,"25,010,625","8,640,632","33,208,855","4,790,000","43,162,751","114,812,863","22,275,553","12,512,050","19,461,408","14,217,704","68,466,715","183,279,578",0.047
2019,Rams,"11,029,259","13,854,737","28,729,831","6,368,701","32,938,926","92,921,454","32,617,749","26,036,961","9,467,833","28,782,790","96,905,333","189,826,787",0.073
2019,Ravens,"4,187,820","6,681,138","17,183,006","8,163,686","30,086,399","66,302,049","22,838,000","14,417,521","22,688,963","36,508,749","96,453,233","162,755,282",0.041
2019,Redskins,"30,391,202","9,427,038","16,124,730","18,250,338","44,764,834","118,958,142","12,228,286","28,571,903","8,020,965","23,470,521","72,291,675","191,249,817",0.049
2019,Saints,"27,090,000","5,452,359","15,803,354","7,483,498","44,938,201","100,767,412","26,265,401","19,853,965","6,271,606","18,701,078","71,092,050","171,859,462",0.032
2019,Seahawks,"26,931,766","5,925,531","17,945,479","7,686,119","34,458,112","92,947,007","20,518,659","31,488,551","10,886,440","5,716,668","68,610,318","161,557,325",0.037
2019,Steelers,"28,371,114","3,001,755","10,965,693","11,153,589","40,045,676","93,537,827","37,498,722","29,607,112","6,999,873","22,346,988","96,452,695","189,990,522",0.016
2019,Texans,"7,513,495","11,016,495","22,674,688","4,253,032","29,570,110","75,027,820","29,330,918","37,618,700","11,018,559","30,719,187","108,687,364","183,715,184",0.060
2019,Titans,"23,292,000","9,584,371","19,507,898","9,678,488","42,803,262","104,866,019","28,271,034","22,405,448","7,645,920","31,040,372","89,362,774","194,228,793",0.049
2019,Vikings,"30,880,000","4,955,766","28,111,936","7,066,717","26,864,097","97,878,516","42,138,564","14,830,774","16,836,578","29,183,232","102,989,148","200,867,664",0.025
2018,49ers,"38,197,259","8,311,842","18,448,916","3,643,398","33,769,652","102,371,067","26,561,491","8,852,841","5,634,527","19,623,596","60,672,455","163,043,522",0.051
2018,Raiders,"25,915,200","7,694,424","18,652,510","11,533,431","36,376,204","100,171,769","14,213,805","10,206,380","11,068,824","11,492,532","46,981,541","147,153,310",0.052
2018,Falcons,"22,329,200","7,325,063","24,432,270","2,433,131","40,262,172","96,781,836","17,965,541","8,581,239","8,818,569","27,139,828","62,505,177","159,287,013",0.046
2018,Packers,"22,071,928","1,581,868","26,709,607","10,835,666","33,058,976","94,258,045","19,504,029","28,120,459","6,337,244","6,889,233","60,850,965","155,109,010",0.010
2018,Redskins,"22,370,588","6,464,791","11,550,945","16,639,653","35,748,048","92,774,025","11,964,793","24,236,263","5,638,443","21,140,054","62,979,553","155,753,578",0.042
2018,Browns,"24,442,360","5,651,728","19,436,865","7,333,699","34,889,282","91,753,934","16,529,922","21,320,019","5,640,141","18,933,305","62,423,387","154,177,321",0.037
2018,Saints,"26,852,600","7,093,841","12,859,196","7,775,068","35,725,330","90,306,035","27,594,929","14,765,854","7,798,629","8,475,586","58,634,998","148,941,033",0.048
2018,Chargers,"23,129,200","4,755,413","25,433,190","7,068,484","27,616,393","88,002,680","36,279,780","7,394,631","10,693,090","17,921,985","72,289,486","160,292,166",0.030
2018,Colts,"25,722,676","2,083,712","20,549,797","13,375,573","25,505,806","87,237,564","23,924,867","3,849,218","6,461,829","5,307,934","39,543,848","126,781,412",0.016
2018,Vikings,"26,462,000","8,510,220","15,333,845","9,592,122","26,668,316","86,566,503","37,136,839","18,490,720","15,731,056","22,554,099","93,912,714","180,479,217",0.047
